birth_rate,co2_ppm,death_rate,food_kcal_per_capita,food_per_capita_index,food_production_index,gdp_per_capita,life_expectancy,mean_years_schooling,plastic_production,pollution_composite,population,year
,,,,,,,,0.46026796,,,,1870
,,,,,,,,0.5161778,,,,1875
,,,,,,,,0.5989987,,,,1880
,,,,,,,,0.6794388,,,,1885
,,,,,,,,0.78066266,,,,1890
,,,,,,,,0.8785696,,,,1895
,,,,,,,,1.00808,,,,1900
,,,,,,,,1.1512768,,,,1905
,,,,,,,,1.2853836,,,,1910
,,,,,,,,1.4412706,,,,1915
,,,,,,,,1.6373215,,,,1920
,,,,,,,,1.8281308,,,,1925
,,,,,,,,2.018216,,,,1930
,,,,,,,,2.2034733,,,,1935
,,,,,,,,2.6039193,,,,1940
,,,,,,,,2.8062007,,,,1945
,,,,,,,,3.0336335,2000000.0,,,1950
,,,,,,,,,2000000.0,,,1951
,,,,,,,,,2000000.0,,,1952
,,,,,,,,,3000000.0,,,1953
,,,,,,,,,3000000.0,,,1954
,,,,,,,,3.250855,4000000.0,,,1955
,,,,,,,,,5000000.0,,,1956
,,,,,,,,,5000000.0,,,1957
,,,,,,,,,6000000.0,,,1958
,315.98,,,,,,,,7000000.0,0.5851080815524441,,1959
31.9992347613353,316.91,17.2114690145631,,,,3666.59082061073,50.9418860745353,3.5115314,8000000.0,0.6008215777099344,3021512598.0,1960
31.2341888501891,317.64,14.5595576375874,2183.74,15.501971020734752,12.8998217396646,3758.77250262805,52.7972306837695,,9000000.0,0.6162280240025265,3062768116.0,1961
35.1632445830402,318.45,13.5844076991565,2229.9001,15.554735639024592,13.174494534538,3889.44169880341,55.2860734026534,,11000000.0,0.6460430045267922,3117372187.0,1962
36.3474563845187,318.99,13.4290583745492,2233.9036,15.940375220365206,13.789955658133,3999.11737367727,55.6522285444853,,13000000.0,0.6754434677334457,3184063049.0,1963
35.1867781359517,319.62,13.5207745082276,2260.0144,15.29447604344377,13.510395637927,4176.12872214355,56.096712233261,,15000000.0,0.7049821033793031,3251249170.0,1964
34.5166542843224,320.04,13.3335741537579,2279.4038,15.12129859780982,13.6357392694334,4321.26359482416,55.9265080057019,3.8569107,17000000.0,0.7341983366670176,3318979339.0,1965
33.4763662664044,321.37,12.9112358062149,2295.2974,15.04770868659364,13.8559334144675,4461.25201113523,56.44915720267,,20000000.0,0.7790973611257326,3389042165.0,1966
33.1903180507836,322.18,12.6247916884605,2299.2615,16.315937943647274,15.3337086006077,4534.50435177488,56.9040239437714,,23000000.0,0.8231980559357126,3458932230.0,1967
33.3167956338247,323.05,12.3867097754531,2303.4976,15.228934692045026,14.6087632414392,4706.69204485463,57.3357035221963,,27000000.0,0.8816765799908762,3530576858.0,1968
32.8206532186312,324.62,12.225682171321,2312.3752,15.932389498917638,15.6043841743869,4884.72781217999,57.6804599932799,,32000000.0,0.9555154928588974,3604694154.0,1969
32.5683883067216,325.68,12.0848966381614,2357.6013,16.2025618414641,16.2025618414641,4964.2668816199,57.9372947120442,4.3155894,35000000.0,1.0,3680493750.0,1970
31.8386630222275,326.32,12.224112512585,2334.1072,16.287340688956313,16.6326146693805,5060.96177798072,58.0247486866482,,38000000.0,1.0438397024248167,3758515396.0,1971
31.3785214258942,327.46,11.7418299517283,2321.8433,16.19211986613002,16.8689885523651,5235.59521801848,58.8444152506983,,44000000.0,1.1313041723690214,3834345191.0,1972
30.743811739418,329.68,11.4712149095013,2358.5105,16.295152862305347,17.3155594386797,5464.50235085175,59.2963752109716,,51000000.0,1.2347124258693896,3910964219.0,1973
29.8916994956859,330.19,11.3992426294035,2350.712,17.125727159088267,18.5528219593025,5466.80512033489,59.6998625917946,,,1.23549540302488,3987186772.0,1974
29.2261787061019,331.13,11.3308871905634,2366.0088,17.236370503773706,19.0228672545282,5409.8779133443,60.1307923083887,4.7661443,46000000.0,1.1655099659613293,4061959945.0,1975
28.4282781400367,332.03,11.1729431503101,2359.5437,17.326840222911603,19.4696084049762,5590.91891521715,60.454259510654,,54000000.0,1.281177404639085,4135644231.0,1976
28.0436721161037,333.84,10.8910909237376,2388.1965,17.924277645222016,20.4974109518379,5710.21713028289,61.0414812816423,,59000000.0,1.3553847773449836,4208840894.0,1977
27.7823569893686,335.41,10.6505395230646,2446.153,18.03683266265064,20.9910772433422,5843.07195676427,61.394384620536,,64000000.0,1.4292236902130049,4283309396.0,1978
27.7050360256352,336.84,10.4085535983903,2444.2083,17.610041220543245,20.8610013252657,5978.08804044549,61.8410145342921,,71000000.0,1.531419096747026,4359930896.0,1979
